name,weighted_pv
茅島みずき,19527.466816797652
草刈正雄,37678.71211216193
草刈民代,9235.160938351568
草彅剛,69537.99822145379
荒川良々,13745.766203547368
荒木飛羽,45915.08085155032
莉子_(モデル),21341.52624779349
菅田将暉,124374.22856454468
菅野美穂,36524.4269317409
菅野莉央,28373.393928603553
菊池桃子,43913.0966053719
菊池風磨,98760.1221292938
菜々緒,69489.5353209408
萩原みのり,22767.50961474649
萩原利久,39887.35171782689
萬波ユカ,992.6998951448915
萬田久子,16892.910608129598
葵わかな,32712.952652461554
蒔田彩珠,24830.928839017717
蒼井優,53642.90424819096
蓮佛美沙子,30338.287826103413
薬丸裕英,10902.708550219926
薬師丸ひろ子,40925.93550645606
藤ヶ谷太輔,67871.32109016144
藤井流星,25174.483647172376
藤井隆,23136.137346501553
藤原さくら,38943.81327850576
藤原大祐,23384.81218379577
藤原竜也,50537.722005996286
藤原紀香,24915.92646319058
藤岡弘、,52011.15031715596
藤木直人,33845.36749139454
藤本美貴,55064.58347627156
藤森慎吾,34616.848324031904
藤田ニコル,39974.38914354528
藤田弓子,7368.969159347001
藤野涼子,18950.598879148765
蛯原友里,26804.794536316393
西島秀俊,116177.79330072884
西村まさ彦,20044.333769505705
西田尚美,22188.6300387433
西田敏行,38705.10748571315
西畑大吾,51479.085687748724
西野七瀬,50798.82967260883
要潤,14258.855090199248
見上愛,26246.959460228834
観月ありさ,39553.280991974505
角田晃広,18848.9230988766
設楽統,35681.8652432696
谷まりあ,58011.08286584457
谷原章介,49588.80676931183
豊嶋花,30489.10935017217
豊川悦司,32890.2784316889
財前直見,58730.1699586997
貫地谷しほり,28205.313949057418
貴島明日香,95072.16240602697
賀来千香子,33892.7904554931
賀来賢人,76451.733632717
赤楚衛二,206669.0207433125
趣里,104803.35950327996
足立梨花,57458.633772263514
辺見えみり,16041.389789443161
近藤春菜,21200.844931089803
速水もこみち,26019.913810982336
道枝駿佑,83877.014434707
遠藤憲一,26495.716447231847
遠藤章造,17729.901376647114
遼河はるひ,16188.775800963134
郷ひろみ,88163.49353174497
酒井美紀,25867.03901996212
酒井若菜,30188.389131377455
醍醐虎汰朗,49678.52121708332
重岡大毅,34734.66517660214
野村周平,52456.38991560121
野村萬斎,23371.23333638447
野間口徹,18406.391018245038
金子ノブアキ,24889.356751090556
金子大地,63097.22101787668
鈴木ゆうか,14389.469742817966
鈴木京香,34373.441735584725
鈴木亮平_(俳優),81284.00810514683
鈴木仁_(俳優),13877.120269854091
鈴木伸之,84068.22465346308
鈴木保奈美,58299.835127452796
鈴木奈々,16840.292481760745
鈴木梨央,19018.760815694346
鈴木浩介_(俳優),27397.924454713815
鈴木砂羽,32709.117564590422
鈴木福,55687.433887738065
鈴鹿央士,264675.2311319364
錦織圭,31333.38482099415
錦鯉_(お笑いコンビ),126501.26823155691
長井短,17075.84285096878
長嶋一茂,53117.90949887921
長澤まさみ,106040.77271106659
長谷川京子,27264.857625892615
長谷川博己,30044.3538514456
門脇麦,91168.41798209067
間宮祥太朗,56912.425237055875
関口メンディー,36351.41264600921
関根勤,19048.98857949634
関水渚,42090.5151633794
阿佐ヶ谷姉妹,44068.40910733681
阿部サダヲ,35313.88119092752
阿部寛,69423.62470033095
陣内孝則,17368.55629590796
陣内智則,30319.511591236824
霜降り明星,46386.0903564412
青木崇高,23653.897341861724
青柳翔,17036.94193808821
音尾琢真,28575.30330642812
須藤理彩,36738.27596576183
須賀健太,34157.509470477366
風吹ジュン,48632.39025150809
風間俊介,66078.47041497965
飯尾和樹,23207.138184319843
