name,fame_pct,popularity_pct
Hive,67,32
Findus,75,32
Asos,93,32
Taco Bell,90,32
Gallo,52,32
Corona Extra,85,32
On The Beach,67,32
Greene King IPA,77,32
Sherbert Fountain,88,32
Transport for London (TfL),76,32
Standard Life,74,32
Martini,93,32
Grolsch,72,32
Marston's,61,32
Playboy,95,31
Hobgoblin,71,31
Champneys,68,31
Teacher's,77,31
Martell,67,31
Murphy's,60,31
EDF Energy,94,31
Hertz,84,31
Eat Natural,57,31
Louis Vuitton,95,31
London Pride,65,31
Glen Moray,72,31
British Gas,98,31
Hollister,75,31
Zurich,77,31
Woodpecker Cider,67,31
Orangina,69,31
Europcar,79,31
Great Western Railway,84,31
Very,88,31
Beck's,86,31
Pierre Cardin,74,31
Givenchy,73,31
Premier Stores,74,31
Maestro,81,31
travelsupermarket.com,65,31
More Than,71,31
Boohoo,85,31
Cruzcampo,45,31
Sainsbury's Bank,87,31
Jamie's Italian,69,31
Heck,63,31
Huawei,89,31
Jessops,83,31
MegaBus,57,31
Breitling,54,31
AEG,73,31
Old Mout,61,30
Liverpool Victoria (LV=),80,30
Marc Jacobs,70,30
London North Eastern Railway,67,30
Jim Beam,75,30
Slimming World,93,30
Perrier,75,30
Victorian Plumbing,75,30
AGA,53,30
Gourmet Burger Kitchen,60,30
Roysters t-bone steak,61,30
Capital One,93,30
Old Golden Hen,60,30
Warner Hotels,69,30
Green Energy UK,57,30
Vitality,71,30
Cath Kidston,68,30
Carr's,59,30
Rituals,43,30
Ritter Sport Peppermint,62,30
Mattessons Fridge Raiders,74,30
Novotel,74,30
Olympus,61,30
Theakston,60,30
Alpen Strawberry With Yoghurt Cereal Bar,79,30
Morgan's Spiced,58,30
Babycham,76,30
Argos Care,65,30
Euronics,62,30
Brunch Bar Raisin,78,30
Bollinger,64,30
Mr. Porky Pork Scratchings,81,30
Office,68,30
Xerox,83,30
BrewDog,77,30
Rockstar Games,48,30
YouTube Kids,75,30
Chromecast,58,30
Gousto,80,29
I Can’t Believe it’s so Good...,79,29
Opel,74,29
Coco Pops Coco Rocks Bars,72,29
Hennessy,75,29
Asahi,48,29
Harris Tweed,49,29
Rémy Martin,57,29
The Botanist Gin,54,29
Weight Watchers,96,29
Age Co,54,29
Croft,51,29
Bell's,78,29
Lands' End,53,29
Kangol,72,29
Beats by Dr. Dre,74,29
Wallis,75,29
Virgin Money,85,29
ghd,58,29
InterContinental Hotels,64,29
KitchenAid,51,29
Singha,43,29
KLM,67,29
Temu,93,29
Aer Lingus,69,29
Jet,81,29
Jones Bootmaker,40,29
ASUS,58,29
Capcom,38,29
First TransPennine Express,64,29
Debenhams Café and Restaurant,75,29
Suzuki,90,29
Revolut,64,29
Abercrombie & Fitch,79,29
Old Peculier,54,28
Bass,62,28
Banks's,51,28
Courvoisier,56,28
Great Rail Journeys,54,28
NEFF,48,28
Lonely Planet,49,28
White Stuff,52,28
Heron Foods,56,28
Naked Juice,61,28
Stone's Ginger Wine,56,28
Well Pharmacy,54,28
GoPro,64,28
